elapsed_s,current_a,recorded_duration_s
2.130707,+0.155311,2.130707
2.141177,+0.208059,2.141177
2.151651,+0.155311,2.151651
2.162376,+0.202198,2.162376
2.172966,+0.190476,2.172966
2.183823,+0.172894,2.183823
2.194816,+0.196337,2.194816
2.205357,+0.172894,2.205357
2.215839,+0.208059,2.215839
2.226758,+0.184615,2.226758
2.237878,+0.178755,2.237878
2.248299,+0.196337,2.248299
2.259329,+0.196337,2.259329
2.270276,+0.196337,2.270276
2.280890,+0.202198,2.280890
2.291328,+0.167033,2.291328
2.302284,+0.231502,2.302284
2.312847,+0.161172,2.312847
2.323837,+0.219780,2.323837
2.334945,+0.167033,2.334945
2.345480,+0.213919,2.345480
2.355858,+0.184615,2.355858
2.366897,+0.172894,2.366897
2.377882,+0.196337,2.377882
2.388433,+0.184615,2.388433
2.399426,+0.196337,2.399426
2.409878,+0.184615,2.409878
2.420900,+0.155311,2.420900
2.431414,+0.213919,2.431414
2.442583,+0.172894,2.442583
2.452903,+0.202198,2.452903
2.463983,+0.172894,2.463983
2.474928,+0.178755,2.474928
2.485447,+0.208059,2.485447
2.496149,+0.161172,2.496149
2.506974,+0.213919,2.506974
2.518235,+0.161172,2.518235
2.529122,+0.202198,2.529122
2.540068,+0.178755,2.540068
2.551151,+0.178755,2.551151
2.561736,+0.190476,2.561736
2.572590,+0.184615,2.572590
2.583673,+0.184615,2.583673
2.594646,+0.184615,2.594646
2.605080,+0.155311,2.605080
2.615891,+0.219780,2.615891
2.626648,+0.149451,2.626648
2.637713,+0.208059,2.637713
2.648657,+0.155311,2.648657
2.659759,+0.202198,2.659759
2.670711,+0.178755,2.670711
2.681312,+0.178755,2.681312
2.692130,+0.184615,2.692130
2.702675,+0.172894,2.702675
2.713622,+0.184615,2.713622
2.724692,+0.190476,2.724692
2.735400,+0.161172,2.735400
2.746233,+0.208059,2.746233
2.757279,+0.172894,2.757279
2.768367,+0.213919,2.768367
2.779743,+0.167033,2.779743
2.790679,+0.184615,2.790679
2.801321,+0.190476,2.801321
2.812208,+0.108425,2.812208
2.822773,+0.190476,2.822773
2.833785,+0.196337,2.833785
2.844972,+0.184615,2.844972
2.855844,+0.231502,2.855844
2.866745,+0.137729,2.866745
2.877753,+0.108425,2.877753
2.888367,+0.172894,2.888367
2.899252,+0.184615,2.899252
2.910333,+0.184615,2.910333
2.920796,+0.143590,2.920796
2.931350,+0.126007,2.931350
2.942307,+0.143590,2.942307
2.952839,+0.149451,2.952839
2.963850,+0.155311,2.963850
2.974999,+0.161172,2.974999
2.985978,+0.155311,2.985978
2.996846,+0.161172,2.996846
3.007851,+0.161172,3.007851
3.018525,+0.172894,3.018525
3.029524,+0.172894,3.029524
3.040334,+0.167033,3.040334
3.040473,+0.167033,3.040473
3.050939,+0.172894,3.050939
3.061357,-0.067399,3.061357
3.072346,-0.172894,3.072346
3.082964,-0.149451,3.082964
3.093931,-0.172894,3.093931
3.104986,-0.202198,3.104986
3.115460,-0.143590,3.115460
3.125923,-0.225641,3.125923
3.136981,-0.167033,3.136981
3.147997,-0.202198,3.147997
3.158462,-0.167033,3.158462
3.169555,-0.184615,3.169555
3.180476,-0.196337,3.180476
3.190935,-0.178755,3.190935
3.201478,-0.184615,3.201478
3.212479,-0.202198,3.212479
3.222989,-0.178755,3.222989
3.234225,-0.213919,3.234225
3.244934,-0.172894,3.244934
3.255561,-0.213919,3.255561
3.266581,-0.196337,3.266581
3.277468,-0.184615,3.277468
3.288477,-0.213919,3.288477
3.299556,-0.172894,3.299556
3.310464,-0.225641,3.310464
3.321545,-0.172894,3.321545
3.332465,-0.213919,3.332465
3.343466,-0.178755,3.343466
3.354086,-0.190476,3.354086
3.365128,-0.196337,3.365128
3.376246,-0.178755,3.376246
3.387074,-0.190476,3.387074
3.398125,-0.190476,3.398125
3.409111,-0.172894,3.409111
3.419723,-0.208059,3.419723
3.430779,-0.155311,3.430779
3.441388,-0.225641,3.441388
3.452248,-0.167033,3.452248
3.462803,-0.208059,3.462803
3.473844,-0.172894,3.473844
3.484958,-0.190476,3.484958
3.496073,-0.196337,3.496073
3.506812,-0.184615,3.506812
3.518064,-0.178755,3.518064
3.528847,-0.196337,3.528847
3.539584,-0.178755,3.539584
3.550379,-0.208059,3.550379
3.560928,-0.149451,3.560928
3.571885,-0.213919,3.571885
3.582876,-0.167033,3.582876
3.593886,-0.196337,3.593886
3.604891,-0.178755,3.604891
3.615927,-0.178755,3.615927
3.626987,-0.202198,3.626987
3.637942,-0.167033,3.637942
3.648500,-0.190476,3.648500
3.659507,-0.172894,3.659507
3.670655,-0.190476,3.670655
3.681546,-0.190476,3.681546
3.692795,-0.161172,3.692795
3.703472,-0.190476,3.703472
3.714186,-0.178755,3.714186
3.724712,-0.184615,3.724712
3.736076,-0.184615,3.736076
3.746678,-0.149451,3.746678
3.757752,-0.213919,3.757752
3.768758,-0.149451,3.768758
3.779383,-0.190476,3.779383
3.790501,-0.149451,3.790501
3.801077,-0.196337,3.801077
3.811511,-0.184615,3.811511
3.822521,-0.172894,3.822521
3.833059,-0.178755,3.833059
3.843767,-0.184615,3.843767
3.854934,-0.178755,3.854934
3.865314,-0.202198,3.865314
3.876348,-0.143590,3.876348
3.887353,-0.219780,3.887353
3.898388,-0.155311,3.898388
3.909820,-0.202198,3.909820
3.920486,-0.149451,3.920486
3.930983,-0.190476,3.930983
3.941521,-0.184615,3.941521
3.952477,-0.161172,3.952477
3.963002,-0.172894,3.963002
3.973976,-0.155311,3.973976
3.985255,-0.172894,3.985255
3.996017,-0.172894,3.996017
4.007197,-0.143590,4.007197
4.018242,-0.178755,4.018242
4.029085,-0.161172,4.029085
4.040052,-0.167033,4.040052
4.051040,-0.161172,4.051040
4.061556,-0.143590,4.061556
4.072561,-0.196337,4.072561
4.083569,-0.137729,4.083569
4.094432,-0.178755,4.094432
4.104841,-0.131868,4.104841
4.115350,-0.178755,4.115350
4.126396,-0.155311,4.126396
4.137368,-0.149451,4.137368
4.148529,-0.155311,4.148529
4.159394,-0.149451,4.159394
4.170519,-0.161172,4.170519
4.181386,-0.155311,4.181386
4.192445,-0.131868,4.192445
4.202934,-0.196337,4.202934
4.213908,-0.137729,4.213908
4.224958,-0.178755,4.224958
4.235495,-0.120147,4.235495
4.245930,-0.178755,4.245930
4.256999,-0.161172,4.256999
4.268193,-0.155311,4.268193
4.279492,-0.149451,4.279492
4.290549,-0.161172,4.290549
4.300947,-0.172894,4.300947
4.312011,-0.167033,4.312011
4.323041,-0.131868,4.323041
4.333995,-0.184615,4.333995
4.344988,-0.143590,4.344988
4.355496,-0.184615,4.355496
4.366167,-0.149451,4.366167
4.377009,-0.161172,4.377009
4.388108,-0.202198,4.388108
4.398534,-0.149451,4.398534
4.409590,-0.184615,4.409590
4.420063,-0.143590,4.420063
4.431038,-0.190476,4.431038
4.441701,-0.167033,4.441701
4.452618,-0.149451,4.452618
4.463102,-0.167033,4.463102
4.474098,-0.172894,4.474098
4.485134,-0.178755,4.485134
4.495716,-0.178755,4.495716
4.506785,-0.137729,4.506785
4.517133,-0.202198,4.517133
4.528186,-0.149451,4.528186
4.538718,-0.213919,4.538718
4.549667,-0.137729,4.549667
4.560662,-0.184615,4.560662
4.571248,-0.167033,4.571248
4.581706,-0.161172,4.581706
4.592693,-0.167033,4.592693
4.603703,-0.167033,4.603703
4.615236,-0.178755,4.615236
4.626073,-0.178755,4.626073
4.637028,-0.137729,4.637028
4.648167,-0.190476,4.648167
4.658538,-0.143590,4.658538
4.669616,-0.178755,4.669616
4.680497,-0.137729,4.680497
4.690850,-0.155311,4.690850
4.701893,-0.184615,4.701893
4.712502,-0.137729,4.712502
4.723506,-0.178755,4.723506
4.734605,-0.131868,4.734605
4.745532,-0.184615,4.745532
4.756515,-0.149451,4.756515
4.767535,-0.149451,4.767535
4.778181,-0.155311,4.778181
4.789395,-0.149451,4.789395
4.799826,-0.161172,4.799826
4.810861,-0.161172,4.810861
4.821404,-0.161172,4.821404
4.832436,-0.184615,4.832436
4.842993,-0.131868,4.842993
4.853955,-0.178755,4.853955
4.865230,-0.120147,4.865230
4.875946,-0.178755,4.875946
4.887040,-0.149451,4.887040
4.897952,-0.155311,4.897952
4.908720,-0.137729,4.908720
4.919107,-0.149451,4.919107
4.930175,-0.161172,4.930175
4.941176,-0.161172,4.941176
4.951680,-0.126007,4.951680
4.962740,-0.178755,4.962740
4.973883,-0.131868,4.973883
4.984718,-0.184615,4.984718
4.995288,-0.126007,4.995288
5.005889,-0.167033,5.005889
5.016904,-0.178755,5.016904
