elapsed_s,position_rad,velocity_rad_s,tau_cmd_nm,tau_fb_nm,force_est_n
0.267585,2.630585,-0.876679,-1.250000,-0.530403,44.200244
0.270099,2.628190,-0.891331,-1.250000,-0.530403,44.200244
0.272656,2.626082,-0.901099,-1.250000,-0.536264,44.688645
0.275201,2.623782,-0.876679,-1.250000,-0.536264,44.688645
0.277902,2.621578,-0.881563,-1.250000,-0.530403,44.200244
0.280450,2.618990,-0.940171,-1.250000,-0.530403,44.200244
0.283001,2.616691,-0.915751,-1.250000,-0.536264,44.688645
0.285528,2.614391,-0.905983,-1.250000,-0.530403,44.200244
0.288061,2.611995,-0.935287,-1.250000,-0.518681,43.223443
0.290432,2.609599,-0.949939,-1.250000,-0.524542,43.711844
0.292974,2.607587,-0.920635,-1.250000,-0.524542,43.711844
0.295488,2.605191,-0.891331,-1.250000,-0.518681,43.223443
0.297988,2.602892,-0.905983,-1.250000,-0.530403,44.200244
0.300497,2.600688,-0.915751,-1.250000,-0.524542,43.711844
0.303033,2.598292,-0.915751,-1.250000,-0.524542,43.711844
0.305571,2.595800,-0.959707,-1.250000,-0.518681,43.223443
0.308076,2.593309,-0.974359,-1.250000,-0.506960,42.246642
0.310600,2.591009,-0.949939,-1.250000,-0.506960,42.246642
0.313429,2.588709,-0.915751,-1.250000,-0.512821,42.735043
0.316117,2.586026,-0.935287,-1.250000,-0.512821,42.735043
0.318611,2.583535,-0.945055,-1.250000,-0.512821,42.735043
0.321036,2.581426,-0.886447,-1.250000,-0.524542,43.711844
0.323519,2.579318,-0.852259,-1.250000,-0.530403,44.200244
0.326056,2.577018,-0.866911,-1.250000,-0.524542,43.711844
0.328425,2.574623,-0.930403,-1.250000,-0.524542,43.711844
0.331437,2.572515,-0.915751,-1.250000,-0.530403,44.200244
0.333924,2.569640,-0.925519,-1.250000,-0.518681,43.223443
0.336685,2.567340,-0.964591,-1.250000,-0.512821,42.735043
0.339239,2.564753,-0.945055,-1.250000,-0.512821,42.735043
0.342232,2.562357,-0.915751,-1.250000,-0.512821,42.735043
0.345143,2.562357,-0.915751,-1.250000,-0.512821,42.735043
0.347635,2.556799,-0.949939,-1.250000,-0.512821,42.735043
0.350247,2.554403,-0.901099,-1.250000,-0.512821,42.735043
0.352923,2.552103,-0.915751,-1.250000,-0.512821,42.735043
0.355402,2.549708,-0.925519,-1.250000,-0.518681,43.223443
0.357948,2.547504,-0.930403,-1.250000,-0.518681,43.223443
0.360470,2.545108,-0.925519,-1.250000,-0.524542,43.711844
0.363005,2.542808,-0.910867,-1.250000,-0.524542,43.711844
0.365628,2.540508,-0.935287,-1.250000,-0.524542,43.711844
0.368243,2.538113,-0.905983,-1.250000,-0.524542,43.711844
0.370776,2.535813,-0.886447,-1.250000,-0.524542,43.711844
0.373293,2.533321,-0.930403,-1.250000,-0.518681,43.223443
0.375815,2.531022,-0.935287,-1.250000,-0.518681,43.223443
0.378346,2.528818,-0.910867,-1.250000,-0.524542,43.711844
0.380937,2.526422,-0.896215,-1.250000,-0.518681,43.223443
0.383387,2.524026,-0.920635,-1.250000,-0.518681,43.223443
0.385887,2.521726,-0.954823,-1.250000,-0.518681,43.223443
0.388396,2.519331,-0.945055,-1.250000,-0.518681,43.223443
0.390952,2.516935,-0.954823,-1.250000,-0.506960,42.246642
0.393607,2.514348,-1.003663,-1.250000,-0.495238,41.269841
